question,final_answer,correct_answer
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: add a fourth tile to the word
Configurations: The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: adjust the desk lamp
Configurations: The robot has 0 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 4 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: align the blue towel with the plate
Configurations: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: align the rope along the ridge of the black object
Configurations: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 0 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 0 arm(s) with 5 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Your Choice:",The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: arrange shoes
Configurations: The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 4 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: arrange sofa
Configurations: The robot has 0 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 4 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: arrange some of the bottle on the counter
Configurations: The robot has 1 arm(s) with 4 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: arrange the black objects on the table
Configurations: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.
Your Choice:",The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: arrange the black objects together
Configurations: The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 0 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk., The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Your Choice:",The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
"Here are a few examples:
Task: Arrange books on a shelf in alphabetical order.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Rotate the wall-mounted thermostat to a specified temperature.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Fold the laundry and place it in a basket.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Place the stack of plates neatly on the kitchen counter.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Organize books on a low shelf.
Configuration: The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: The robot can monitor the counter for any spills or changes in bottle arrangement.
Configuration: The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.
Task: Stack the empty cups in the kitchen cabinet.
Configuration: The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Task: arrange the cups
Configurations: The robot has 0 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk., The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk., The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
Your Choice:",The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.
