task,hardware_config,model_answer,correct_answer
add a fourth tile to the word,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
add a fourth tile to the word,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
adjust the desk lamp,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
adjust the desk lamp,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
align the blue towel with the plate,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
align the blue towel with the plate,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
align the rope along the ridge of the black object,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,False,True
align the rope along the ridge of the black object,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
arrange shoes,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
arrange shoes,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
arrange sofa,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
arrange sofa,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
arrange some of the bottle on the counter,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
arrange some of the bottle on the counter,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
arrange the black objects on the table,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
arrange the black objects on the table,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
arrange the black objects together,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
arrange the black objects together,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
arrange the cups,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
arrange the cups,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
assemble: attach the bubble ring to the ball,The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
assemble: attach the bubble ring to the ball,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
attach the three piece lego to the stack of lego's,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
attach the three piece lego to the stack of lego's,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
bad. place the pan onto the stove.,The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
bad. place the pan onto the stove.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
bring bat from the wall to the bed.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
bring bat from the wall to the bed.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
bring the bowl to the counter.,The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.,False,True
bring the bowl to the counter.,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
bring the mug closer to the edge,The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.,True,True
bring the mug closer to the edge,The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.,False,False
bring two bottles to the toilet tank,The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
bring two bottles to the toilet tank,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
bring two sets of keys to the coffee table,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
bring two sets of keys to the coffee table,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
browse internet,The robot has 2 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
browse internet,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
brush teeth,The robot has 2 arm(s) with 6 DoFs and soft No specified Gripper and it can walk.,False,True
brush teeth,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a blue pillow while turning on a lamp,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a blue pillow while turning on a lamp,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a box while turning on a lamp,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a box while turning on a lamp,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
"carry a computer to the lamp, turn the lamp off",The robot has 0 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
"carry a computer to the lamp, turn the lamp off",The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a laptop to turn on a lamp.,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a laptop to turn on a lamp.,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
carry a plate while turning on a lamp,The robot has 1 arm(s) with 6 DoFs and soft No specified Gripper and it can not walk.,False,True
carry a plate while turning on a lamp,The robot has 1 arm(s) with 1 DoFs and soft No specified Gripper and it can not walk.,False,False
