task,correct_configuration,predicted_configuration,correct_prediction,configuration_choices
put the pack of lays in the sink,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 0 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.']"
put the packaging foam into the cardboard box,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.']"
put the packet and cap in the bag,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 1 dofs and rigid no specified gripper and it can not walk.,False,"['The robot has 0 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 0 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.']"
put the packet in the storage box,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.']"
put the pajama pants into the laundry bin,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.']"
put the paper and the white object in the drawer and close the drawer,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 5 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 5 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.']"
put the paper bag into the cardboard box,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 0 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 0 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 0 arm(s) with 6 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.']"
put the paper bag on the counter,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 0 arm(s) with 5 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 0 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 0 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.']"
put the paper bowl inside the silver saucepan,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,True,"['The robot has 0 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.', 'The robot has 0 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid No specified Gripper and it can not walk.']"
put the paper cups in the paper plates,the robot has 1 arm(s) with 7 dofs and rigid robot grippers with 2 fingers and it can not walk.,the robot has 1 arm(s) with 1 dofs and rigid no specified gripper and it can not walk.,False,"['The robot has 1 arm(s) with 6 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 7 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 0 arm(s) with 5 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 5 DoFs and rigid Robot Grippers with 2 Fingers and it can not walk.', 'The robot has 1 arm(s) with 1 DoFs and rigid No specified Gripper and it can not walk.']"
