model,acc
Llama-3.3-70B-Instruct,0.737259816207185
gemma-2-27b-it,0.658103592314119
gpt-4o-2024-08-06 ,0.790100250626566
gpt-4o-mini-2024-07-18,0.854427736006683
gpt-4o-mini-2024-07-18_sgicl,0.780075187969925
gpt-4o-mini-2024-07-18_rar,0.855054302422724
gpt-4o-mini-2024-07-18_stepback,0.900584795321637
gpt-4o-mini-2024-07-18_selfref,0.801169590643275
gpt-4o-mini-2024-07-18_contr,0.861528822055138
gpt-4o-mini-2024-07-18_meta,0.861319966583125
gpt-4o-mini-2024-07-18_selfcon,0.892021720969089
Llama-3.3-70B-Instruct_rar,0.758354218880535
Llama-3.3-70B-Instruct_selfref,0.726608187134503
Llama-3.3-70B-Instruct_sgicl,0.848788638262322
Llama-3.3-70B-Instruct_contr,0.85359231411863
Llama-3.3-70B-Instruct_meta,0.796157059314954
Llama-3.3-70B-Instruct_stepback,0.768796992481203
Llama-3.3-70B-Instruct_selfcon_3200_-1,0.76274386406545
Llama-3.3-70B-Instruct_selfcon_1_1600,0.736085053158224
Llama-3.3-70B-Instruct_selfcon_1600_3200,0.73375
