prompter,total,correct,accuracy
gpt-4o-mini-2024-07-18_rar,1600,1354,0.84625
gpt-4o-mini-2024-07-18_meta,1600,1304,0.815
gpt-4o-mini-2024-07-18_selfref,1600,1288,0.805
gpt-4o-mini-2024-07-18_selfcon,1600,1289,0.805625
gpt-4o-mini-2024-07-18_contr,1600,1366,0.85375
gpt-4o-mini-2024-07-18_stepback,1600,1267,0.791875
gpt-4o-mini-2024-07-18_sgicl,1600,1135,0.709375
gpt-4o-mini-2024-07-18,1600,1368,0.855
Llama-3.3-70B-Instruct_meta,1600,1365,0.853125
Llama-3.3-70B-Instruct_selfref,1600,1357,0.848125
Llama-3.3-70B-Instruct_stepback,1600,1356,0.8475
Llama-3.3-70B-Instruct_sgicl,1600,1317,0.823125
Llama-3.3-70B-Instruct_selfcon,1600,1356,0.8475
Llama-3.3-70B-Instruct_contr,1600,1414,0.88375
