recipe_id,name,hands,tongs,knife,fork,skewer,chopsticks,spoon,dinner plate,dessert plate,bowl,coupe plate
0d02a72cfa,Lamb and Bean Nachos With Salsa Fresca,30,2,20,29,1,1,8,24,2,5,13
0cb3a8dd1b,Meatloaf With BBQ Sauce,8,1,34,37,1,1,3,31,5,4,4
034566dced,Tiramisu,0,0,2,14,1,0,33,1,33,9,2
09735470c4,Loaded Potato Soup,1,0,1,2,0,2,43,2,0,42,1
171ef0df45,"Vegan Sushi Roll with Avocado, Carrot and Cucumber",16,3,6,9,1,30,2,21,5,2,18
08d62f3586,Spaghettini Bolognese,1,0,12,41,0,6,14,13,1,24,9
17c5be4051,Meatballs With Orzo and Italian Vegetables,1,1,27,40,1,0,9,20,2,12,11
164dd39bc8,Orange Spinach Salmon Salad,2,4,16,36,0,1,9,21,3,14,8
21cf0a92db,Moussaka with Rice,1,2,25,27,0,0,25,27,4,8,8
258e057c96,Miso Broth Ramen,1,2,2,9,2,26,26,3,2,40,1
147e132b03,Leg of Lamb With Garlic Sauce and Fresh Herbs,6,3,42,43,0,0,2,41,0,1,5
161c4ab8b7,Beer Battered Shrimp,21,3,16,26,2,5,0,30,2,1,13
23e03f51ed,Beef Barbecue Casserole,3,2,32,41,1,1,9,32,1,7,5
3dc052c587,Baked Salmon with Sweet Olive Salsa,3,1,37,40,2,0,4,37,2,1,7
00856a7fc1,Ginger Hazelnut Cookies,43,2,1,2,0,0,5,6,31,2,8
294aa239b7,Cajun Chicken Sandwiches,44,1,7,7,0,0,2,28,8,4,8
274334e3ee,Three Cheese Ravioli,5,2,19,43,0,3,10,18,3,18,9
0cc18f7593,Stringy Macaroni & Cheese,1,1,9,43,1,1,13,15,1,20,11
23f0a7f1fb,Mushroom Omelet,8,2,31,38,0,0,4,35,1,4,6
233bf1ba24,Baked Apples with Candied Walnuts,13,1,11,26,0,1,20,4,26,13,4
091f14f802,Spring Green Salad,3,5,11,40,0,0,5,12,5,22,8
29d57de424,Hamburgers,45,1,14,14,1,0,1,38,2,1,7
26e1daadd1,Hot Apple Oatmeal,3,1,2,4,0,1,43,3,4,38,2
2e142eb080,Quinoa Salad,1,2,12,35,0,3,14,8,6,28,5
1a5ec168f7,Pan Fried Steak With Vegetables,3,0,42,44,2,1,1,40,5,0,3
004ecc20aa,Strawberry Custard Cake,3,1,2,22,1,0,34,2,36,7,2
0a95e66289,Baked Breakfast Burritos,31,2,18,22,0,0,5,28,5,2,11
07fcc9f6e8,Teriyaki Pork Chops,9,1,36,37,2,2,2,39,2,1,5
30d6f21f84,White-Bean Soup with Bacon and Herbs,4,1,1,3,0,0,46,5,0,42,1
3586be4388,Velveeta Chicken Spaghetti,3,1,13,45,0,7,7,19,1,16,11
195121e129,Greek Chickpea Stew,2,1,7,13,0,2,37,8,1,33,7
2b76e77f69,Steamed Coconut Rice,3,0,4,16,0,3,38,16,2,22,7
06d08227aa,Caramelized Shallot and Mushroom Quiche,4,1,22,31,0,0,18,22,15,1,11
37df2dafee,Roasted Sweet Potato Slices,15,1,25,41,1,1,4,28,10,2,9
08eb8903cf,Sausage and Corn Quesadillas,35,0,20,20,0,0,2,29,5,3,6
298802a175,Chicken Parmesan Panini,36,1,18,16,1,0,0,32,5,0,7
