meal,predicted_plate,correct_plate,predicted_utensils,correct_utensils,plate_is_correct,jaccard_utensil
Lamb and Bean Nachos With Salsa Fresca,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.5
Meatloaf With BBQ Sauce,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Tiramisu,Dinner Plate,Dessert Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Loaded Potato Soup,Dinner Plate,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]",[<Utensil.SPOON: 'Spoon'>],False,0.0
"Vegan Sushi Roll with Avocado, Carrot and Cucumber",Dinner Plate,Dinner Plate,"[<Utensil.SPOON: 'Spoon'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]",True,0.3333333333333333
Spaghettini Bolognese,Dinner Plate,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Meatballs With Orzo and Italian Vegetables,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Orange Spinach Salmon Salad,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.3333333333333333
Moussaka with Rice,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.6666666666666666
Miso Broth Ramen,Dinner Plate,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]",False,0.25
Leg of Lamb With Garlic Sauce and Fresh Herbs,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Beer Battered Shrimp,Dinner Plate,Dinner Plate,"[<Utensil.TONGS: 'Tongs'>, <Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>, <Utensil.SPOON: 'Spoon'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.3333333333333333
Beef Barbecue Casserole,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Baked Salmon with Sweet Olive Salsa,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Ginger Hazelnut Cookies,Dinner Plate,Dessert Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]",[<Utensil.HANDS: 'Hands'>],False,0.0
Cajun Chicken Sandwiches,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]",[<Utensil.HANDS: 'Hands'>],True,0.0
