meal,predicted_plate,correct_plate,predicted_utensils,correct_utensils,plate_is_correct,jaccard_utensil
Lamb and Bean Nachos With Salsa Fresca,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.5
Meatloaf With BBQ Sauce,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Tiramisu,Dessert Plate,Dessert Plate,[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Loaded Potato Soup,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>],True,1.0
"Vegan Sushi Roll with Avocado, Carrot and Cucumber",Coupe Plate,Dinner Plate,"[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]",False,1.0
Spaghettini Bolognese,Dinner Plate,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Meatballs With Orzo and Italian Vegetables,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Orange Spinach Salmon Salad,Bowl,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",False,0.6666666666666666
Moussaka with Rice,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
Miso Broth Ramen,Bowl,Bowl,"[<Utensil.SPOON: 'Spoon'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
Leg of Lamb With Garlic Sauce and Fresh Herbs,Dinner Plate,Dinner Plate,"[<Utensil.SKEWER: 'Skewer'>, <Utensil.HANDS: 'Hands'>, <Utensil.TONGS: 'Tongs'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.0
Beer Battered Shrimp,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.5
