meal,predicted_plate,correct_plate,predicted_utensils,correct_utensils,plate_is_correct,jaccard_utensil
Lamb and Bean Nachos With Salsa Fresca,Dinner Plate,Dinner Plate,"[<Utensil.HANDS: 'Hands'>, <Utensil.TONGS: 'Tongs'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.5
Meatloaf With BBQ Sauce,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Tiramisu,Dessert Plate,Dessert Plate,[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Loaded Potato Soup,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>],True,1.0
"Vegan Sushi Roll with Avocado, Carrot and Cucumber",None,Dinner Plate,"[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]",False,1.0
Spaghettini Bolognese,Dinner Plate,Bowl,"[<Utensil.SPOON: 'Spoon'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Meatballs With Orzo and Italian Vegetables,Dinner Plate,Dinner Plate,"[<Utensil.SPOON: 'Spoon'>, <Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Orange Spinach Salmon Salad,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Moussaka with Rice,Dinner Plate,Dinner Plate,"[<Utensil.SPOON: 'Spoon'>, <Utensil.FORK: 'Fork'>, <Utensil.KNIFE: 'Knife'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
Miso Broth Ramen,Bowl,Bowl,"[<Utensil.SPOON: 'Spoon'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
