meal,predicted_plate,correct_plate,predicted_utensils,correct_utensils,plate_is_correct,jaccard_utensil
Lamb and Bean Nachos With Salsa Fresca,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Meatloaf With BBQ Sauce,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Tiramisu,Dessert Plate,Dessert Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
Loaded Potato Soup,Bowl,Bowl,"[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SKEWER: 'Skewer'>, <Utensil.CHOPS: 'Chopsticks'>, <Utensil.TONGS: 'Tongs'>, <Utensil.SPOON: 'Spoon'>]",[<Utensil.SPOON: 'Spoon'>],True,0.14285714285714285
"Vegan Sushi Roll with Avocado, Carrot and Cucumber",Dessert Plate,Dinner Plate,[<Utensil.CHOPS: 'Chopsticks'>],"[<Utensil.HANDS: 'Hands'>, <Utensil.CHOPS: 'Chopsticks'>]",False,0.5
Spaghettini Bolognese,Dinner Plate,Bowl,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Meatballs With Orzo and Italian Vegetables,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.3333333333333333
Orange Spinach Salmon Salad,Dinner Plate,Dinner Plate,[<Utensil.FORK: 'Fork'>],"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.5
Moussaka with Rice,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.6666666666666666
Miso Broth Ramen,Bowl,Bowl,"[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
Leg of Lamb With Garlic Sauce and Fresh Herbs,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Beer Battered Shrimp,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Beef Barbecue Casserole,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Baked Salmon with Sweet Olive Salsa,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Ginger Hazelnut Cookies,Dessert Plate,Dessert Plate,[<Utensil.HANDS: 'Hands'>],[<Utensil.HANDS: 'Hands'>],True,1.0
Cajun Chicken Sandwiches,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>]",[<Utensil.HANDS: 'Hands'>],True,0.3333333333333333
Three Cheese Ravioli,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.6666666666666666
Stringy Macaroni & Cheese,Dinner Plate,Bowl,[<Utensil.FORK: 'Fork'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.5
Mushroom Omelet,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Baked Apples with Candied Walnuts,Dessert Plate,Dessert Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Spring Green Salad,Dinner Plate,Bowl,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",False,1.0
Hamburgers,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.HANDS: 'Hands'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Hot Apple Oatmeal,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>],True,1.0
Quinoa Salad,Dinner Plate,Bowl,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Pan Fried Steak With Vegetables,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
Strawberry Custard Cake,Dessert Plate,Dessert Plate,[<Utensil.FORK: 'Fork'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Baked Breakfast Burritos,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.HANDS: 'Hands'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Teriyaki Pork Chops,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,1.0
White-Bean Soup with Bacon and Herbs,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>],True,1.0
Velveeta Chicken Spaghetti,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.3333333333333333
Greek Chickpea Stew,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Steamed Coconut Rice,Dinner Plate,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.CHOPS: 'Chopsticks'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
Caramelized Shallot and Mushroom Quiche,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.6666666666666666
Roasted Sweet Potato Slices,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Sausage and Corn Quesadillas,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Chicken Parmesan Panini,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Eggplant Curry (Indian),Dinner Plate,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.6666666666666666
"Eggs with Chickpeas, Spinach, and Tomato",Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.6666666666666666
Brazilian Seafood Stew,Bowl,Bowl,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,1.0
Asparagus and Artichoke Pasta Salad,Dinner Plate,Bowl,[<Utensil.FORK: 'Fork'>],"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",False,0.5
Chocolate Chip Cranberry Muffins,Dessert Plate,Dessert Plate,[<Utensil.HANDS: 'Hands'>],"[<Utensil.HANDS: 'Hands'>, <Utensil.FORK: 'Fork'>]",True,0.5
Baklava,Dessert Plate,Dessert Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Linguine Pasta with Shrimp and Tomatoes,Dinner Plate,Coupe Plate,[<Utensil.FORK: 'Fork'>],"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.3333333333333333
Sloppy Joes with Cornbread,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.25
Chillaquillas,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Deep-Fried Plantain Rounds,Dinner Plate,Dinner Plate,[<Utensil.FORK: 'Fork'>],"[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.3333333333333333
Ranch and Avocado Pasta Salad,Dinner Plate,Bowl,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",False,1.0
Roasted Tomato Soup,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],[<Utensil.SPOON: 'Spoon'>],True,1.0
Mushrooms & Scrambled Eggs on Toast,Dinner Plate,Dinner Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.6666666666666666
Baked Acorn Squash with Fruit,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.6666666666666666
Sea Bass with Gingered Vegetable Stir-Fry,Dinner Plate,Dinner Plate,"[<Utensil.FORK: 'Fork'>, <Utensil.CHOPS: 'Chopsticks'>]","[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]",True,0.3333333333333333
Rhubarb Bread Pudding,Dessert Plate,Dessert Plate,[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
Green Tomato Pie,Dinner Plate,Dessert Plate,"[<Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>]","[<Utensil.HANDS: 'Hands'>, <Utensil.KNIFE: 'Knife'>, <Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",False,0.5
Classic Chili,Bowl,Bowl,[<Utensil.SPOON: 'Spoon'>],"[<Utensil.FORK: 'Fork'>, <Utensil.SPOON: 'Spoon'>]",True,0.5
