Location,Objects
ambulance,['tourniquet']
anor room,['phone']
apartment,"['armchair', 'bed', 'bedroom', 'blender', 'closet', 'computer', 'couch', 'cup', 'dish', 'dishwasher', 'door', 'elevator', 'foyer', 'furniture', 'gate', 'ipod', 'kitchen', 'kitchenette', 'lamp', 'loft', 'mailbox', 'microwave', 'mop', 'mouse', 'pillow', 'radiator', 'refrigerator', 'room', 'sink', 'stove', 'table', 'television', 'toilet', 'tv']"
aquarium,['fish']
attic,"['antique', 'bat', 'damper', 'duct', 'fire', 'junk', 'light', 'mouse', 'rafter', 'spider', 'storage', 'trunk', 'vent']"
automobile,"['container', 'heater', 'horn', 'steel', 'trunk']"
backpack,"['blanket', 'canteen', 'clothing', 'coat', 'computer', 'cord', 'drink', 'flashlight', 'food', 'gauze', 'knife', 'lunch', 'match', 'netting', 'pencil', 'pot', 'raincoat', 'rope', 'school', 'schoolbook', 'scissors', 'snack', 'sunscreen', 'tape', 'tent', 'textbook', 'thing', 'torch', 'underwear', 'utensil']"
backyard,"['deck', 'gate', 'hedge', 'mouse', 'pit', 'shed', 'spa', 'wagon']"
bag,"['gun', 'phone', 'radio', 'sugar', 'sunglass']"
ballroom,"['ball', 'streamer', 'tuxedo']"
band room,['violin']
bank,"['atm', 'check', 'cubicle', 'vault']"
bar,"['beer', 'beverage', 'booze', 'brandy', 'coke', 'decanter', 'drink', 'gin', 'glass', 'john', 'jukebox', 'liquor', 'mug', 'screwdriver', 'stool', 'tab', 'tap', 'television', 'vermouth', 'vodka', 'whiskey', 'whisky']"
barrel,"['bourbon', 'bullet', 'wine']"
basement,"['bar', 'bed', 'cellar', 'drill', 'dryer', 'dungeon', 'fire', 'fireplace', 'furnace', 'joist', 'laundry', 'ottoman', 'saw', 'shop', 'spider', 'storehouse', 'storeroom', 'tank', 'toilet', 'tool', 'toy', 'weight']"
basket,['bread']
bath,['ribbon']
