model,acc
Llama-3.3-70B-Instruct,0.618223760092272
gemma-2-27b-it,0.575547866205306
gpt-4o-2024-08-06,0.608996539792388
gpt-4o-mini-2024-07-18,0.61361014994233
gpt-4o-mini-2024-07-18_rar,0.596309111880046
gpt-4o-mini-2024-07-18_meta,0.594002306805075
gpt-4o-mini-2024-07-18_selfref,0.617070357554787
gpt-4o-mini-2024-07-18_selfcon,0.608996539792388
gpt-4o-mini-2024-07-18_contr,0.605536332179931
gpt-4o-mini-2024-07-18_stepback,0.566320645905421
gpt-4o-mini-2024-07-18_sgicl,0.610149942329873
Llama-3.3-70B-Instruct_meta,0.595155709342561
Llama-3.3-70B-Instruct_selfref,0.607843137254902
Llama-3.3-70B-Instruct_stepback,0.566320645905421
Llama-3.3-70B-Instruct_sgicl,0.587081891580161
Llama-3.3-70B-Instruct_contr,0.604382929642445
Llama-3.3-70B-Instruct_selfcon,0.599769319492503
Llama-3.3-70B-Instruct_rar,0.625144175317186
gemma-2-27b-it_rar,0.562860438292964
gemma-2-27b-it_selfref,0.505190311418685
gemma-2-27b-it_sgicl,0.569780853517878
gemma-2-27b-it_meta,0.566320645905421
