Object,Correct_Location,Wrong_Locations
action figure,closet,"['different room', 'safe', 'cubicle', 'ballroom']"
adjustable wrench,childs room,"['trap', 'bank', 'restroom', 'ambulance']"
alarmclock,bedroom,"['icebox', 'pod', 'floor', 'board']"
aluminumfoil,kitchen,"['hotel room', 'bath', 'kitchen or bathroom', 'television room']"
android figure,utility room,"['study', 'hospital drug storeroom', 'different room', 'keg']"
anti slip tape,kitchen,"['hive', 'deck', 'pocket', 'handbag']"
antidepressant,playroom,"['every bedroom', 'deck', 'safe', 'shelf']"
antique,trunk,"['toaster', 'lounge', 'loungeroom', 'bag']"
apple,lobby,"['card room', 'toolbox', 'bottle', 'camp']"
applesauce,jar,"['box', 'bike', 'side of  room', 'butt']"
appliance,house,"['butt', 'hive', 'different room', 'washer']"
apricot,table,"['boot', 'master bedroom', 'bedroom drawer', 'camp']"
armchair,living room,"['shell', 'breadbox', 'room', 'bathroom cabinet']"
armoire,bedroom,"['kitchen', 'art classroom', 'bay', 'freezer']"
armrest,car,"['shaker', 'lobby', 'press', 'packet']"
arrow,quiver,"['aquarium', 'room', 'backyard', 'class room']"
artichoke,refrigerator,"['delivery room', 'loft', 'jacket', 'way']"
article,press,"['hive', 'bed', 'oven', 'box']"
ashtray,house,"['bicycle', 'bar', 'package', 'nest']"
asparagus,oven,"['plate', 'motel room', 'basement', 'home']"
atm,bank,"['anor room', 'house', 'jar', 'house']"
attic,home,"['separate room', 'numerous modern washrooms', 'carton', ""prostitute's bedroom""]"
backpack,kitchen,"['deck', 'art classroom', 'card room', 'kitchen or bathroom']"
bacon,fridge,"['boot', ""person's living room"", 'sink', 'court']"
balancing cactus,corridor,"['wardrobe', 'cabinet', 'den', 'cruet']"
ball,sack,"['fridge', 'different room', 'master bedroom', 'attic']"
balustrade,grand ballroom,"['mansion', 'cradle', 'handbag', 'purse']"
banana,kitchen,"['numerous modern washrooms', ""children's room"", 'house', 'backyard']"
bar,basement,"['range', 'shaker', 'wardrobe', 'dumpster']"
baseball,childs room,"['bedroom drawer', 'bathroom drawer', 'bedroom drawer', 'nest']"
baseballbat,bedroom,"['laundry room', 'garbage', 'foyer', 'table']"
basil,garden,"['bar', 'barrel', 'bed', 'ballroom']"
basketball,bedroom,"['barrel', 'purse', 'machine', 'small room']"
bat,well,"['most rooms', 'living rooms', 'broom closet', 'pan']"
bath sheet,bathroom,"['hamper', 'tea room', 'bottle', 'dumpster']"
bathtub,bathroom,"['case', 'toolbox', 'room of house', 'home office']"
bathtubbasin,bathroom,"['lobby', 'bedroom', 'bar', 'teapot']"
batter,box,"['bike', 'bedroom', 'band room', 'childs room']"
battery,television room,"['sofa', 'dumpster', 'wardrobe', 'livin room']"
beacon,range,"['quiver', 'teapot', 'well', 'cruet']"
beanbag,child's bedroom,"['safe', 'nest', 'independant room', ""cash's room""]"
beard color gel,dining room,"['one room flat', 'independant room', 'pot', 'beehive']"
beauty pack,kitchen,"['room of house', 'breadbox', 'lounge', 'cruet']"
bed,bedroom,"['box', 'motel room', 'livin room', 'box']"
bedroom,house,"['car', 'larder', 'family room', 'bathtub']"
beer,bar,"['breadbox', 'class room', 'corridor', 'tank']"
beet,jar,"['family room', 'ir rooms', 'stand', 'stand']"
belt,suitcase,"['apartment', 'bed', 'purse', 'chest']"
beverage,bar,"['lobby', 'freezer', 'aquarium', 'bathroom']"
binoculars,backpack,"['cubicle', 'living rooms', 'library', 'master bedroom']"
biscuit,oven,"['dumpster', 'carton', 'most rooms', 'hatbox']"
blanket,closet,"['sedan', 'breadbox', 'loft', 'mailbox']"
bleach cleanser,bedroom,"['laundry room', 'bicycle', 'machine', 'bay']"
blender,kitchen,"['stand', 'teapot', 'sack', 'shaker']"
blender jar,garage,"['boot', 'anor room', 'loft', 'class room']"
blind,living room,"['small room', 'dumpster', ""child's room"", 'family room']"
blouse,suitcase,"['table', 'study', 'motel room', 'bottle']"
board game,lobby,"['trunk', 'loft', 'loft', 'mailbox']"
boat,bay,"['pan', 'family room', 'hatbox', ""child's bedroom""]"
boater,boat,"['bowl', 'dresser', 'icebox', 'bundle']"
bolt,jar,"['dormroom', 'dresser', 'kitchen', 'bar']"
book,childs room,"['boat', 'bath', 'kitchen or bathroom', 'hamper']"
bookcase,house,"['drawer', 'shell', 'automobile', 'dimly lit room']"
bookend,childs room,"['bicycle', 'pocket', 'shaker', 'toaster']"
bookshelf,bedroom,"['drawer', 'oven', 'mansion', 'hamper']"
boot,living room,"['dumpster', 'small room', 'handbag', 'bicycle']"
booze,bar,"['corridor', 'container', 'dishwasher', 'home office']"
bottle,kitchen,"['closet', 'cat', 'vault', 'barrel']"
bourbon,barrel,"['bike', 'home', 'ballroom', 'pocket']"
bowl,garage,"['belfry', 'boot', 'independant room', 'bedroom drawer']"
box,lobby,"['classroom', 'deck', 'fridge', 'waiting room']"
bra,suitcase,"['guest room', 'toolbox', 'range', 'toaster']"
brain,head,"['pan', 'storage room', 'dimly lit room', 'boat']"
brandy,bar,"['counter', 'shell', 'machine', 'motel room']"
bread,kitchen,"[""child's bedroom"", 'dining room', 'motel room', 'hall']"
