Object,Correct_Location,Wrong_Locations
action figure,pantry room,"['palace', 'laundry room', 'suitcase', 'car']"
adjustable wrench,bedroom,"['loft', 'cat', 'glass', 'press']"
alarmclock,bedroom,"['different room', ""child's room"", 'larder', 'attic']"
aluminumfoil,kitchen,"[""prostitute's bedroom"", 'exercise room', 'lamp', 'bathroom cabinet']"
android figure,corridor,"['teapot', 'chest', 'separate room', 'castle']"
anti slip tape,exercise room,"['icebox', 'side of  room', ""children's room"", 'home']"
antidepressant,pantry room,"['motel room', 'larder', 'laundry room', 'bundle']"
antique,attic,"['pot', 'court', 'butt', 'hall']"
apple,kitchen,"['loft', 'cup', 'bus', 'furniture']"
applesauce,jar,"['sack', 'dishwasher', 'teapot', 'engine']"
