Object,Affordances
abrader,"{1: ('beautify', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('polish', 0.75), 5: ('repair', 0.75), 6: ('smoothen', 0.75)}"
abrading stone,"{1: ('beautify', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('polish', 0.75), 5: ('repair', 0.75), 6: ('smoothen', 0.75)}"
adjustable wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
adz,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('hammer', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
air hammer,"{1: ('break', 0.75), 2: ('change', 0.75), 3: ('clean', 0.75), 4: ('control', 0.75), 5: ('fix', 0.75), 6: ('hammer', 0.75), 7: ('handle', 0.75), 8: ('install', 0.75), 9: ('operate', 0.75), 10: ('plug', 0.75), 11: ('repair', 0.75), 12: ('wash', 0.75)}"
alarm clock,"{1: ('time', 1.0)}"
alarmclock,"{1: ('pick', 1.0)}"
allen wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
alligator wrench,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('repair', 0.75), 6: ('wrench', 0.75)}"
aluminumfoil,"{1: ('pick', 1.0)}"
apple,"{1: ('eat', 1.5), 2: ('cut', 1.0), 3: ('pick', 1.0)}"
arm chair,"{1: ('comfort', 1.0), 2: ('increase', 1.0), 3: ('support', 1.0)}"
armchair,"{1: ('contain', 1.0)}"
auger,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('change', 0.75), 4: ('drill', 0.75), 5: ('fix', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75)}"
awl,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hold', 0.75), 5: ('mark', 0.75), 6: ('pierce', 0.75), 7: ('repair', 0.75)}"
ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
axe,"{1: ('chop', 1.25), 2: ('cut', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
backsaw,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('bore', 0.75), 4: ('break', 0.75), 5: ('change', 0.75), 6: ('clean', 0.75), 7: ('control', 0.75), 8: ('drill', 0.75), 9: ('fix', 0.75), 10: ('handle', 0.75), 11: ('hold', 0.75), 12: ('install', 0.75), 13: ('operate', 0.75), 14: ('plug', 0.75), 15: ('repair', 0.75), 16: ('saw', 0.75), 17: ('separate', 0.75), 18: ('wash', 0.75)}"
ball,"{1: ('wrap', 1.0), 2: ('roll', 1.0), 3: ('support', 0.75), 4: ('contain', 0.75)}"
ball peen hammer,"{1: ('grasp', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('hammer', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75)}"
bandsaw,"{1: ('cut', 0.75), 2: ('bore', 0.75), 3: ('break', 0.75), 4: ('change', 0.75), 5: ('clean', 0.75), 6: ('control', 0.75), 7: ('drill', 0.75), 8: ('fix', 0.75), 9: ('handle', 0.75), 10: ('install', 0.75), 11: ('operate', 0.75), 12: ('plug', 0.75), 13: ('repair', 0.75), 14: ('separate', 0.75), 15: ('wash', 0.75)}"
barong,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('crack', 0.75), 5: ('cube', 0.75), 6: ('dice', 0.75), 7: ('fix', 0.75), 8: ('peel', 0.75), 9: ('repair', 0.75), 10: ('separate', 0.75), 11: ('skin', 0.75)}"
base ball bat,"{1: ('exercise', 1.0), 2: ('break', 1.0)}"
baseballbat,"{1: ('pick', 1.0)}"
basket ball,"{1: ('exercise', 1.0), 2: ('break', 1.0)}"
basketball,"{1: ('pick', 1.0)}"
bath tub basin,"{1: ('wash', 1.0), 2: ('dispose', 1.0)}"
bathtub,"{1: ('contain', 1.0)}"
bathtubbasin,"{1: ('contain', 1.0)}"
battering ram,"{1: ('change', 0.75), 2: ('crumble', 0.75), 3: ('fix', 0.75), 4: ('repair', 0.75)}"
battle ax,"{1: ('cut', 0.75), 2: ('change', 0.75), 3: ('chop', 0.75), 4: ('fix', 0.75), 5: ('repair', 0.75), 6: ('separate', 0.75), 7: ('skin', 0.75)}"
bayonet,"{1: ('cut', 0.75), 2: ('carve', 0.75), 3: ('change', 0.75), 4: ('cube', 0.75), 5: ('dice', 0.75), 6: ('fix', 0.75), 7: ('repair', 0.75), 8: ('separate', 0.75), 9: ('skin', 0.75)}"
beading plane,"{1: ('cut', 0.75), 2: ('grasp', 0.75), 3: ('change', 0.75), 4: ('fix', 0.75), 5: ('hold', 0.75), 6: ('repair', 0.75), 7: ('separate', 0.75), 8: ('skin', 0.75)}"
bed,"{1: ('comfort', 1.0), 2: ('increase', 1.0), 3: ('support', 1.0), 4: ('contain', 1.0)}"
bender,"{1: ('bend', 0.75), 2: ('change', 0.75), 3: ('fix', 0.75), 4: ('flex', 0.75), 5: ('repair', 0.75)}"
