question,full_answer,final_answer,correct_answer
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: cleaning up spills
Tools: alligator wrench, sponge, shampoo, drill, kri
Your Choice:",sponge,sponge,sponge
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: drying the dishes
Tools: toothpick, strickle, sponge, tack hammer, hunting knife
Your Choice:",sponge,sponge,sponge
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: removing moisture
Tools: peppershaker, soapbottle, sponge, steak knife, potato
Your Choice:",sponge,sponge,sponge
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: reheating coffee
Tools: pan, tap wrench, desk lamp, power saw, footstool
Your Choice:",pan,pan,pan
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: cooking a fried egg
Tools: toilet paper, counterbore, cup, hand drill, hayfork
Your Choice:",cup,cup,cup
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: cooking an omelette
Tools: pan, fork, kirpan, croupier's rake, common ax
Your Choice:",pan,pan,pan
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: reheating soup
Tools: kettle, roach clip, cloth, punch, neolith
Your Choice:",kettle,kettle,kettle
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: boiling water
Tools: laundryhamper, toiletpaper, lightbulb, plate, tamp
Your Choice:",kettle,None,plate
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: decorating a room
Tools: axe, steel wool pad, coffee, soda can, drawer
Your Choice:",steel wool pad,steel wool pad,steel wool pad
"Here are a few examples:
Task: Wiping down kitchen counters
Tool: sponge
Task: Wiping down kitchen countertops
Tool: sponge
Task: Wiping down kitchen counters
Tool: sponge
Task: Frying bacon
Tool: pan
Task: Measuring the right amount of water for making tea.
Tool: cup
Task: heating up leftover soup
Tool: pan
Task: boiling water for tea
Tool: kettle
Task: Serving dinner
Tool: plate

Task: arranging flowers
Tools: basket ball, arm chair, abrader, opener, creditcard
Your Choice:",opener,opener,abrader
