model,acc
gemma-2-27b-it,0.542955326460481
Llama-3.3-70B-Instruct,0.549828178694158
gpt-4o-2024-08-06,0.563573883161512
gpt-4o-mini-2024-07-18,0.556701030927835
gpt-4o-mini-2024-07-18_rar,0.549828178694158
gpt-4o-mini-2024-07-18_meta,0.563573883161512
gpt-4o-mini-2024-07-18_selfcon,0.601374570446735
gpt-4o-mini-2024-07-18_selfref,0.512027491408935
gpt-4o-mini-2024-07-18_contr,0.584192439862543
gpt-4o-mini-2024-07-18_stepback,0.539518900343643
gpt-4o-mini-2024-07-18_sgicl,0.54639175257732
Llama-3.3-70B-Instruct_meta,0.54639175257732
Llama-3.3-70B-Instruct_selfref,0.567010309278351
Llama-3.3-70B-Instruct_stepback,0.553264604810997
Llama-3.3-70B-Instruct_sgicl,0.542955326460481
Llama-3.3-70B-Instruct_selfcon,0.580756013745705
Llama-3.3-70B-Instruct_contr,0.549828178694158
Llama-3.3-70B-Instruct_rar,0.560137457044674
gemma-2-27b-it_rar,0.52233676975945
gemma-2-27b-it_selfref,0.512027491408935
gemma-2-27b-it_sgicl,0.567010309278351
gemma-2-27b-it_meta,0.415807560137457
gemma-2-27b-it_stepback,0.415807560137457
